,TradingTime,Buy_Sell,Qty,Action,Commision,openPositionQty,openPositionValue,CapitalRemained,price,index
19,2020-05-17 03:34:00,Sell,0.10715931375175473,Reduce Position,2.0,0.0,0.0,99935.42839128985,9331.9,664.0
20,2020-05-17 03:35:00,Buy,0.10728635263951249,Open,2.0,0.10728635263951249,1000.7617331037405,98933.42839128985,9320.85,665.0
21,2020-05-17 03:44:00,Buy,0.10702868047550701,Increase Position,2.0,0.21431503311501948,2003.6741075989403,97931.42839128985,9343.29,674.0
22,2020-05-17 04:01:00,Sell,0.21431503311501948,DownwardsClose,3.993812077706336,0.0,0.0,99924.34061806531,9317.62,691.0
23,2020-05-17 04:31:00,Buy,0.10699764605178685,Open,2.0,0.10699764605178685,1000.2503744917611,98922.34061806531,9346.0,721.0
24,2020-05-17 04:38:00,Sell,0.10657220106764032,Reduce Position,2.0,0.0,0.0,99920.34061806531,9383.31,728.0
25,2020-05-17 04:39:00,Buy,0.10664732795119818,Open,2.0,0.10664732795119818,1000.0981155417152,98918.34061806531,9376.7,729.0
26,2020-05-17 05:31:00,Sell,0.10664732795119818,DownwardsClose,1.9955037486535776,0.0,0.0,99914.09698864345,9355.62,781.0
27,2020-05-17 06:01:00,Buy,0.106700697075654,Open,2.0,0.106700697075654,1000.1195047807246,98912.09698864345,9372.01,811.0
28,2020-05-17 06:05:00,Buy,0.10680577050216868,Boll_Bottom Increase Position,2.0,0.21350646757782266,2002.3447854025003,97910.09698864345,9362.79,815.0
29,2020-05-17 06:09:00,Buy,0.1067002416760474,Increase Position,1.9999999999999998,0.32020670925387007,3001.3038899707094,96908.09698864345,9372.05,819.0
30,2020-05-17 06:10:00,Buy,0.10668077697743487,Increase Position,2.0,0.42688748623130496,4000.6358414647466,95906.09698864345,9373.76,820.0
31,2020-05-17 06:11:00,Buy,0.10669454950893835,Increase Position,2.0000000000000004,0.5335820357402433,5003.366734214117,94904.09698864345,9372.55,821.0
32,2020-05-17 06:21:00,Sell,0.10651396824179522,Reduce Position,2.0,0.0,0.0,95902.09698864345,9388.44,831.0
33,2020-05-17 06:22:00,Buy,0.10646463936700383,Open,2.0,0.10646463936700383,1000.1384040311771,94900.09698864345,9392.79,832.0
34,2020-05-17 06:27:00,Sell,0.10650398537913289,Reduce Position,1.9999999999999998,0.0,0.0,95898.09698864345,9389.32,837.0
35,2020-05-17 06:28:00,Buy,0.10651567005279981,Open,2.0,0.10651567005279981,1000.5869013419908,94896.09698864345,9388.29,838.0
36,2020-05-17 06:30:00,Sell,0.10651544314152388,Reduce Position,2.0,0.0,0.0,95894.09698864345,9388.31,840.0
37,2020-05-17 06:31:00,Buy,0.10659128530969567,Open,2.0,0.10659128530969567,999.8422448977418,94892.09698864345,9381.63,841.0
38,2020-05-17 06:38:00,Sell,0.10659128530969567,Boll_Up_Close,2.00623985384203,0.0,0.0,95893.21067571062,9410.9,848.0
39,2020-05-17 06:39:00,Buy,0.10625976261569033,Open,2.0,0.10625976261569033,1000.1296369103914,94891.21067571062,9410.9,849.0
40,2020-05-17 07:31:00,Sell,0.10625976261569033,DownwardsClose,1.998678128553061,0.0,0.0,95888.5510618586,9404.68,901.0
41,2020-05-17 08:31:00,Buy,0.10583735338880623,Open,2.0,0.10583735338880623,1004.3943669127033,94886.5510618586,9448.46,961.0
42,2020-05-17 08:38:00,Buy,0.10559662090813093,Boll_Bottom Increase Position,2.0,0.21143397429693717,2002.3177947073684,93884.5510618586,9470.0,968.0
43,2020-05-17 09:12:00,Sell,0.10554713523965532,Reduce Position,2.0,0.0,0.0,94882.5510618586,9474.44,1002.0
44,2020-05-17 09:13:00,Buy,0.10561446495712053,Open,2.0,0.10561446495712053,1000.4625913565122,93880.5510618586,9468.4,1003.0
45,2020-05-17 10:00:00,Buy,0.10558357626354505,Boll_Bottom Increase Position,1.9999999999999998,0.21119804122066557,2003.213420978013,92878.5510618586,9471.17,1050.0
46,2020-05-17 10:01:00,Sell,0.21119804122066557,DownwardsClose,4.006426841956026,0.0,0.0,94877.75805599467,9485.0,1051.0
47,2020-05-17 10:31:00,Buy,0.10487314020594987,Open,2.0,0.10487314020594987,1000.2842062099583,93875.75805599467,9535.33,1081.0
48,2020-05-17 11:01:00,Sell,0.10487314020594987,DownwardsClose,1.9942319772886727,0.0,0.0,94870.87981266172,9507.83,1111.0
49,2020-05-17 11:31:00,Buy,0.10471544102478719,Open,2.0,0.10471544102478719,999.8052292796939,93868.87981266172,9549.69,1141.0
50,2020-05-17 11:36:00,Sell,0.1047524072103177,Reduce Position,2.0,0.0,0.0,94866.87981266172,9546.32,1146.0
51,2020-05-17 11:37:00,Buy,0.10482367086205939,Open,2.0,0.10482367086205939,999.8008350253622,93864.87981266172,9539.83,1147.0
52,2020-05-17 12:31:00,Sell,0.10482367086205939,DownwardsClose,2.0000083858936692,0.0,0.0,94862.88399722266,9539.87,1201.0
53,2020-05-17 13:31:00,Buy,0.10507932438197594,Open,2.0,0.10507932438197594,999.6658477484652,93860.88399722266,9516.62,1261.0
54,2020-05-17 13:33:00,Sell,0.10513356694011908,Reduce Position,1.9999999999999998,0.0,0.0,94858.88399722266,9511.71,1263.0
55,2020-05-17 13:34:00,Buy,0.10511654797256458,Open,2.0,0.10511654797256458,998.8720994402544,93856.88399722266,9513.25,1264.0
56,2020-05-17 14:01:00,Sell,0.10511654797256458,DownwardsClose,1.9976790266207656,0.0,0.0,94853.72583150641,9502.21,1291.0
57,2020-05-17 14:31:00,Buy,0.10498720730878944,Open,2.0,0.10498720730878944,1001.1275626064964,93851.72583150641,9524.97,1321.0
58,2020-05-17 14:54:00,Sell,0.10479192515341539,Reduce Position,2.0,0.0,0.0,94849.72583150641,9542.72,1344.0
59,2020-05-17 14:55:00,Buy,0.10479763576533713,Open,2.0,0.10479763576533713,1000.0251514325837,93847.72583150641,9542.2,1345.0
60,2020-05-17 14:57:00,Buy,0.10477809048216782,Increase Position,2.0,0.20957572624750495,2000.295519169311,92845.72583150641,9543.98,1347.0
61,2020-05-17 15:00:00,Sell,0.20957572624750495,Boll_Up_Close,4.002514943505575,0.0,0.0,94842.98078831569,9549.09,1350.0
62,2020-05-17 15:01:00,Buy,0.10465023797464117,Open,2.0,0.10465023797464117,1000.8413879133162,93840.98078831569,9555.64,1351.0
63,2020-05-17 15:11:00,Buy,0.10484850963085986,Boll_Bottom Increase Position,2.0,0.20949874760550102,1998.3373238346883,92838.98078831569,9537.57,1361.0
64,2020-05-17 15:21:00,Buy,0.10491726224699202,Increase Position,2.0,0.3144160098524931,2998.3402414755415,91836.98078831569,9531.32,1371.0
65,2020-05-17 15:31:00,Sell,0.3144160098524931,DownwardsClose,5.988449071813145,0.0,0.0,94825.21687515045,9523.13,1381.0
66,2020-05-17 16:01:00,Buy,0.10476107665053695,Open,2.0,0.10476107665053695,1000.2744740208244,93823.21687515045,9545.53,1411.0
67,2020-05-17 16:31:00,Sell,0.10476107665053695,DownwardsClose,1.98904618182542,0.0,0.0,94815.75091988133,9493.25,1441.0
68,2020-05-17 17:31:00,Buy,0.10528621003335467,Open,2.0,0.10528621003335467,1001.2729102793032,93813.75091988133,9497.92,1501.0
